row_id,project_mode,app_type,monthly_users,expected_concurrent_users,requests_per_user_min,estimated_rps,peak_rps,budget_usd,storage_gb,performance_score,performance_available,cdn_present,database_intensity,api_intensity,realtime_required,realtime_connections,background_jobs,media_heavy,growth_rate,operational_skill,availability_level,high_availability,traffic_pattern,multi_region_required,autoscaling_required,managed_database_preferred,recommended_vcpu,recommended_ram_gb
WH-00030,NEW_IDEA,CORPORATE,18467,35,5.7,3.33,6.25,24.64,17.8,,0,0,LOW,LOW,0,0,1,0,MEDIUM,INTERMEDIATE,99.5,0,SEASONAL,0,0,0,2,4
WH-00031,PLANNED,ECOMMERCE,18464,205,17.18,58.7,120.33,35.86,113.4,,0,1,HIGH,HIGH,0,0,1,0,RAPID,BEGINNER,BASIC,0,WEEKEND,1,0,0,8,16
WH-00032,LIVE_URL,MARKETPLACE,798983,59,16.67,16.39,25.9,14.33,27.5,71.7,1,1,HIGH,HIGH,0,0,1,0,SLOW,BEGINNER,99.95,1,WEEKEND,0,0,0,2,8
WH-00033,PLANNED,API_SERVICE,6004,20,18.27,6.09,19.73,14.58,49.1,,0,0,MEDIUM,HIGH,0,0,1,0,MEDIUM,ADVANCED,99.9,0,EVENT_DRIVEN,0,0,0,1,4
WH-00034,PLANNED,SAAS,678359,4493,11.46,858.16,1192.85,239.18,76.3,,0,1,MEDIUM,HIGH,0,0,1,0,SLOW,INTERMEDIATE,99.5,0,EVENING,0,1,0,32,64
WH-00035,PLANNED,SAAS,5111,71,10.91,12.91,20.79,13.26,20.0,,0,0,HIGH,HIGH,0,0,1,0,MEDIUM,INTERMEDIATE,99.95,1,BUSINESS_HOURS,0,0,0,2,8
WH-00036,NEW_IDEA,API_SERVICE,161417,2021,16.57,558.13,2310.67,343.17,78.1,,0,1,MEDIUM,VERY_HIGH,0,0,1,0,STABLE,INTERMEDIATE,99.95,1,EVENT_DRIVEN,0,0,1,32,64
WH-00037,PLANNED,BLOG,44039,33,3.31,1.82,4.44,26.43,11.3,,0,0,LOW,LOW,0,0,0,0,MEDIUM,INTERMEDIATE,99.99,1,EVENT_DRIVEN,0,0,0,2,4
WH-00038,NEW_IDEA,ECOMMERCE,27850,569,17.93,170.04,268.66,100.64,191.9,,0,0,VERY_HIGH,MEDIUM,0,0,0,0,STABLE,INTERMEDIATE,99.9,0,BUSINESS_HOURS,0,0,1,16,32
WH-00039,LIVE_URL,PORTFOLIO,1426,38,3.96,2.51,8.63,24.25,54.4,74.1,1,0,LOW,LOW,0,0,0,1,MEDIUM,INTERMEDIATE,BASIC,0,EVENT_DRIVEN,0,0,0,2,4
WH-00040,LIVE_URL,EDUCATION,7666,36,4.84,2.9,7.61,29.87,170.1,42.2,1,0,HIGH,MEDIUM,0,0,0,0,MEDIUM,INTERMEDIATE,99.9,0,EVENT_DRIVEN,0,0,1,1,8
WH-00041,PLANNED,BLOG,12811,24,3.15,1.26,2.86,18.98,17.0,,0,1,LOW,LOW,0,0,1,0,MEDIUM,BEGINNER,99.9,0,EVENT_DRIVEN,0,0,0,1,4
WH-00042,PLANNED,EDUCATION,3678,53,10.87,9.6,11.52,8.0,32.6,,0,1,LOW,LOW,0,0,0,0,SLOW,INTERMEDIATE,99.9,0,NORMAL,0,0,1,2,4
WH-00043,LIVE_URL,API_SERVICE,216957,4083,29.05,1976.85,5258.43,598.01,126.1,69.3,1,1,MEDIUM,VERY_HIGH,1,3432,1,0,STABLE,BEGINNER,99.5,0,SEASONAL,0,0,0,32,64
WH-00044,PLANNED,MEDIA_STREAMING,524616,134,5.84,13.04,16.17,20.49,95.7,,0,1,MEDIUM,MEDIUM,1,73,0,1,MEDIUM,INTERMEDIATE,BASIC,0,NORMAL,0,0,1,1,8
WH-00045,LIVE_URL,CORPORATE,78167,12,3.05,0.61,0.91,22.85,77.9,80.9,1,1,LOW,LOW,0,0,0,0,MEDIUM,INTERMEDIATE,99.9,0,BUSINESS_HOURS,0,0,0,2,4
WH-00046,PLANNED,SAAS,477943,5304,20.87,1844.91,6918.41,634.42,96.2,,0,0,VERY_HIGH,HIGH,0,0,1,0,RAPID,BEGINNER,99.95,1,EVENT_DRIVEN,0,1,1,32,64
WH-00047,LIVE_URL,MARKETPLACE,272419,3014,17.7,889.13,2614.04,416.91,888.2,60.8,1,0,HIGH,HIGH,1,1476,1,1,RAPID,INTERMEDIATE,99.9,0,EVENT_DRIVEN,0,0,1,32,64
WH-00048,NEW_IDEA,BLOG,5465,92,1.99,3.05,4.64,13.56,48.6,,0,0,LOW,LOW,0,0,0,0,SLOW,BEGINNER,99.99,1,NORMAL,0,0,0,2,4
WH-00049,PLANNED,ECOMMERCE,120735,44,15.1,11.07,36.43,13.72,43.0,,0,1,HIGH,HIGH,0,0,0,0,MEDIUM,BEGINNER,99.99,1,SEASONAL,0,0,0,2,8
WH-00050,PLANNED,SAAS,128491,2359,22.73,893.67,1983.94,229.89,20.9,,0,0,MEDIUM,VERY_HIGH,0,0,0,0,RAPID,INTERMEDIATE,BASIC,0,SEASONAL,0,0,1,32,64
WH-00051,LIVE_URL,ECOMMERCE,114961,1360,17.87,405.05,465.81,204.0,216.9,,0,0,HIGH,HIGH,0,0,1,0,STABLE,ADVANCED,BASIC,0,NORMAL,0,0,0,32,64
WH-00052,LIVE_URL,ECOMMERCE,18281,185,13.61,41.96,76.79,55.05,197.1,77.9,1,1,HIGH,MEDIUM,0,0,0,0,MEDIUM,ADVANCED,99.9,0,EVENING,0,0,0,4,8
WH-00053,LIVE_URL,ECOMMERCE,292243,3236,16.08,867.25,2419.62,202.59,996.7,50.6,1,0,VERY_HIGH,HIGH,0,0,1,1,SLOW,INTERMEDIATE,99.95,1,SEASONAL,0,0,1,32,64
WH-00054,PLANNED,CORPORATE,31577,53,4.05,3.58,6.05,99.19,289.1,,0,1,LOW,MEDIUM,0,0,0,1,SLOW,INTERMEDIATE,99.9,0,WEEKEND,0,0,0,1,4
WH-00055,PLANNED,NEWS,807848,5436,7.88,713.93,2248.87,132.47,79.4,,0,1,MEDIUM,MEDIUM,0,0,0,1,MEDIUM,INTERMEDIATE,99.9,0,SEASONAL,0,1,0,32,64
WH-00056,LIVE_URL,BLOG,41910,18,2.33,0.7,0.95,10.23,22.0,83.8,1,0,LOW,LOW,0,0,0,0,MEDIUM,ADVANCED,99.99,1,BUSINESS_HOURS,1,0,1,2,4
WH-00057,PLANNED,ECOMMERCE,24161,174,13.65,39.59,65.32,23.36,69.8,,0,1,HIGH,HIGH,0,0,0,1,MEDIUM,INTERMEDIATE,99.9,0,EVENING,0,0,1,4,8
WH-00058,NEW_IDEA,PORTFOLIO,8586,3,1.23,0.06,0.09,25.95,21.4,,0,0,LOW,MEDIUM,0,0,1,0,STABLE,BEGINNER,99.99,1,NORMAL,0,0,0,2,4
WH-00059,PLANNED,SAAS,332424,1830,21.64,660.02,2085.66,537.67,51.2,,0,0,HIGH,VERY_HIGH,0,0,1,0,STABLE,INTERMEDIATE,99.95,1,EVENT_DRIVEN,0,1,0,32,64
WH-00060,LIVE_URL,CORPORATE,4879,13,3.44,0.75,1.01,18.2,21.8,66.4,1,0,LOW,MEDIUM,0,0,0,0,RAPID,BEGINNER,99.9,0,EVENING,0,1,0,2,4
WH-00061,PLANNED,PORTFOLIO,12041,32,2.17,1.16,1.7,13.49,185.8,,0,0,LOW,MEDIUM,0,0,1,1,MEDIUM,INTERMEDIATE,99.9,0,WEEKEND,0,0,0,1,4
WH-00062,LIVE_URL,MARKETPLACE,101254,2322,19.62,759.29,2270.29,179.19,487.5,79.8,1,0,VERY_HIGH,VERY_HIGH,0,0,0,0,STABLE,ADVANCED,99.9,0,SEASONAL,0,1,1,32,64
WH-00063,LIVE_URL,COMMUNITY,322870,993,8.97,148.45,210.8,39.11,86.2,67.8,1,1,HIGH,HIGH,1,588,1,0,MEDIUM,ADVANCED,99.9,0,NORMAL,0,0,1,16,32
WH-00064,PLANNED,ECOMMERCE,22891,35,14.75,8.6,10.58,19.53,185.6,,0,1,HIGH,HIGH,0,0,1,1,SLOW,BEGINNER,BASIC,0,NORMAL,0,0,0,2,8
WH-00065,LIVE_URL,API_SERVICE,77693,49,11.49,9.38,14.08,13.52,22.8,69.8,1,0,MEDIUM,HIGH,0,0,1,0,SLOW,INTERMEDIATE,99.95,1,NORMAL,0,0,0,2,8
WH-00066,PLANNED,BLOG,10939,68,4.46,5.05,7.63,12.14,13.0,,0,1,LOW,LOW,0,0,0,0,MEDIUM,BEGINNER,99.95,1,EVENING,0,0,0,2,4
WH-00067,NEW_IDEA,PORTFOLIO,2772,27,1.53,0.69,0.88,18.01,18.1,,0,1,LOW,LOW,0,0,0,0,RAPID,INTERMEDIATE,BASIC,0,NORMAL,0,0,1,2,4
WH-00068,PLANNED,MARKETPLACE,240063,268,17.63,78.75,167.73,113.31,245.6,,0,0,HIGH,HIGH,0,0,1,0,MEDIUM,INTERMEDIATE,99.95,1,EVENT_DRIVEN,0,0,0,16,32
WH-00069,PLANNED,ECOMMERCE,17947,105,9.32,16.31,23.98,51.13,123.6,,0,0,HIGH,HIGH,0,0,0,0,SLOW,BEGINNER,99.95,1,NORMAL,0,0,1,2,8
WH-00070,PLANNED,SAAS,278837,2058,20.38,699.03,2355.74,604.09,295.3,,0,1,HIGH,MEDIUM,0,0,1,0,MEDIUM,ADVANCED,99.9,0,EVENT_DRIVEN,0,1,1,32,64
WH-00071,NEW_IDEA,INTERNAL_BUSINESS,2009,58,9.9,9.57,14.16,19.91,19.1,,0,0,MEDIUM,MEDIUM,0,0,0,0,SLOW,BEGINNER,99.9,0,NORMAL,0,0,0,2,4
WH-00072,PLANNED,COMMUNITY,122564,58,11.93,11.53,23.06,27.21,372.5,,0,0,HIGH,MEDIUM,0,0,0,1,SLOW,INTERMEDIATE,99.99,1,WEEKEND,0,0,0,2,8
WH-00073,LIVE_URL,CORPORATE,102128,80,4.41,5.88,19.23,13.17,17.3,76.4,1,1,LOW,MEDIUM,0,0,1,0,MEDIUM,BEGINNER,99.9,0,SEASONAL,1,0,0,2,4
WH-00074,PLANNED,PORTFOLIO,2040,17,1.57,0.44,0.66,19.52,86.7,,0,0,LOW,LOW,0,0,0,1,MEDIUM,INTERMEDIATE,99.5,0,NORMAL,0,0,0,1,4
WH-00075,LIVE_URL,BLOG,3525,24,1.79,0.72,1.01,47.91,73.6,88.1,1,1,LOW,LOW,0,0,1,1,RAPID,ADVANCED,99.95,1,NORMAL,0,0,0,2,8
WH-00076,NEW_IDEA,SAAS,1351163,7320,6.81,830.82,1021.91,349.47,108.7,,0,1,HIGH,VERY_HIGH,1,3214,1,0,RAPID,ADVANCED,BASIC,0,NORMAL,0,0,0,32,64
WH-00077,LIVE_URL,SAAS,220172,4238,21.67,1530.62,4056.15,698.82,20.8,47.3,1,0,MEDIUM,HIGH,1,2332,0,0,STABLE,INTERMEDIATE,99.9,0,SEASONAL,0,0,0,32,64
WH-00078,PLANNED,API_SERVICE,311896,1952,21.89,712.15,2179.19,233.13,15.2,,0,0,MEDIUM,VERY_HIGH,0,0,1,0,MEDIUM,ADVANCED,99.95,1,SEASONAL,0,0,0,32,64
WH-00079,NEW_IDEA,MARKETPLACE,559245,139,17.07,39.55,54.97,36.37,67.0,,0,1,HIGH,HIGH,0,0,0,0,SLOW,INTERMEDIATE,99.95,1,EVENING,0,0,1,4,8
WH-00080,LIVE_URL,CORPORATE,114964,27,3.46,1.56,2.23,8.0,14.6,77.3,1,0,LOW,LOW,0,0,1,0,SLOW,BEGINNER,99.9,0,NORMAL,0,0,0,1,4
WH-00081,PLANNED,MARKETPLACE,448608,2505,11.8,492.65,1310.45,358.71,171.9,,0,1,HIGH,MEDIUM,0,0,1,0,MEDIUM,ADVANCED,99.95,1,EVENT_DRIVEN,0,1,0,32,64
WH-00082,NEW_IDEA,CORPORATE,36792,8,2.76,0.37,1.01,15.46,45.7,,0,0,LOW,MEDIUM,0,0,1,0,STABLE,BEGINNER,99.9,0,EVENT_DRIVEN,0,0,1,1,4
WH-00083,LIVE_URL,MARKETPLACE,88391,173,9.51,27.42,40.58,56.31,27.1,,0,0,HIGH,HIGH,0,0,1,0,MEDIUM,INTERMEDIATE,99.95,1,NORMAL,0,0,1,4,8
WH-00084,LIVE_URL,ECOMMERCE,35859,653,9.69,105.46,159.24,62.11,118.8,70.4,1,1,HIGH,HIGH,0,0,0,0,STABLE,BEGINNER,99.5,0,BUSINESS_HOURS,0,0,1,8,16
WH-00085,PLANNED,API_SERVICE,43669,600,8.55,85.5,166.72,27.93,58.2,,0,1,MEDIUM,HIGH,0,0,0,0,SLOW,BEGINNER,99.9,0,WEEKEND,0,0,1,8,16
WH-00086,NEW_IDEA,API_SERVICE,437691,1399,31.97,745.43,2646.29,513.79,19.7,,0,0,MEDIUM,VERY_HIGH,0,0,1,0,STABLE,BEGINNER,99.5,0,EVENT_DRIVEN,0,1,1,32,64
WH-00087,LIVE_URL,EDUCATION,108679,55,11.21,10.28,16.03,12.36,47.5,79.1,1,0,LOW,HIGH,0,0,0,0,SLOW,INTERMEDIATE,99.5,0,EVENING,0,0,1,2,4
WH-00088,NEW_IDEA,SAAS,95989,1286,12.33,264.27,417.55,91.85,20.9,,0,0,MEDIUM,VERY_HIGH,0,0,0,0,MEDIUM,INTERMEDIATE,99.95,1,BUSINESS_HOURS,0,0,0,32,64
WH-00089,LIVE_URL,MARKETPLACE,852862,2992,8.28,412.9,1412.1,220.56,48.0,65.0,1,0,HIGH,HIGH,0,0,0,0,MEDIUM,INTERMEDIATE,99.9,0,EVENT_DRIVEN,0,0,0,32,64
WH-00090,LIVE_URL,MARKETPLACE,335783,2618,16.56,722.57,2312.22,141.62,78.7,66.5,1,1,MEDIUM,HIGH,0,0,0,1,RAPID,ADVANCED,99.9,0,SEASONAL,0,0,1,32,64
WH-00091,NEW_IDEA,MARKETPLACE,204069,2830,19.01,896.64,3030.64,413.39,172.7,,0,0,MEDIUM,HIGH,1,1308,1,1,SLOW,ADVANCED,99.9,0,SEASONAL,0,0,0,32,64
WH-00092,LIVE_URL,SAAS,22847,79,16.9,22.25,36.72,8.77,172.6,,0,1,HIGH,HIGH,0,0,0,0,MEDIUM,BEGINNER,99.95,1,WEEKEND,0,0,1,2,8
WH-00093,PLANNED,NEWS,494142,3112,3.02,156.64,527.87,175.52,293.0,,0,0,HIGH,MEDIUM,0,0,0,1,RAPID,INTERMEDIATE,99.5,0,SEASONAL,0,1,0,16,32
WH-00094,PLANNED,API_SERVICE,244309,2983,23.5,1168.34,2126.38,447.64,15.0,,0,1,MEDIUM,VERY_HIGH,0,0,1,0,STABLE,ADVANCED,99.9,0,BUSINESS_HOURS,0,1,0,32,64
WH-00095,LIVE_URL,SAAS,18284,35,5.98,3.49,5.41,60.9,147.1,54.6,1,0,VERY_HIGH,HIGH,0,0,0,0,SLOW,INTERMEDIATE,99.9,0,EVENING,0,0,0,1,16
WH-00096,PLANNED,EDUCATION,7147,30,7.18,3.59,6.32,12.36,17.3,,0,0,MEDIUM,MEDIUM,0,0,1,0,MEDIUM,BEGINNER,BASIC,0,WEEKEND,0,0,0,1,8
WH-00097,LIVE_URL,SAAS,742292,3982,22.28,1478.65,4125.43,534.01,16.7,71.5,1,0,HIGH,HIGH,0,0,1,0,MEDIUM,BEGINNER,BASIC,0,SEASONAL,0,1,0,32,64
WH-00098,LIVE_URL,ECOMMERCE,89591,40,16.09,10.73,19.84,27.57,95.8,43.4,1,0,MEDIUM,HIGH,0,0,1,0,SLOW,INTERMEDIATE,99.9,0,BUSINESS_HOURS,0,0,0,2,8
WH-00099,LIVE_URL,SAAS,10594,178,18.75,55.62,91.78,12.0,34.0,80.0,1,1,HIGH,HIGH,0,0,0,0,STABLE,INTERMEDIATE,99.95,1,BUSINESS_HOURS,0,0,1,8,16
WH-00100,NEW_IDEA,CORPORATE,2793,21,5.41,1.89,2.65,14.44,64.1,,0,0,LOW,MEDIUM,0,0,0,0,MEDIUM,BEGINNER,BASIC,0,NORMAL,0,0,1,2,4
WH-00101,NEW_IDEA,SAAS,6162,45,23.52,17.64,63.15,37.2,80.4,,0,0,HIGH,HIGH,0,0,1,0,MEDIUM,INTERMEDIATE,99.95,1,EVENT_DRIVEN,0,0,0,4,8
WH-00102,PLANNED,SAAS,293868,1035,20.4,351.9,619.34,50.19,36.9,,0,0,HIGH,HIGH,0,0,0,0,STABLE,INTERMEDIATE,99.5,0,EVENING,0,0,1,32,64
WH-00103,LIVE_URL,SAAS,725823,6298,13.76,1444.34,2224.29,470.35,31.4,50.3,1,0,HIGH,HIGH,0,0,0,0,MEDIUM,INTERMEDIATE,BASIC,0,BUSINESS_HOURS,1,1,1,32,64
WH-00104,LIVE_URL,EDUCATION,4415,54,5.42,4.88,10.05,12.36,13.6,88.6,1,0,MEDIUM,MEDIUM,0,0,0,0,MEDIUM,BEGINNER,99.9,0,WEEKEND,0,0,0,1,4
WH-00105,LIVE_URL,API_SERVICE,13623,295,23.29,114.51,166.04,69.49,55.6,50.8,1,1,LOW,VERY_HIGH,1,241,0,0,RAPID,BEGINNER,99.99,1,NORMAL,0,0,0,16,16
WH-00106,NEW_IDEA,API_SERVICE,1033954,4008,33.67,2249.16,4340.87,219.54,15.8,,0,0,MEDIUM,VERY_HIGH,0,0,1,0,SLOW,INTERMEDIATE,99.9,0,BUSINESS_HOURS,0,1,0,32,64
WH-00107,LIVE_URL,SAAS,81941,2000,20.38,679.33,2676.57,296.23,222.9,79.1,1,0,HIGH,HIGH,1,1290,0,1,RAPID,ADVANCED,99.9,0,EVENT_DRIVEN,0,0,1,32,64
WH-00108,NEW_IDEA,API_SERVICE,633281,6690,31.74,3539.01,7538.09,524.38,43.1,,0,1,MEDIUM,VERY_HIGH,0,0,1,0,RAPID,INTERMEDIATE,99.5,0,WEEKEND,0,1,0,32,64
WH-00109,NEW_IDEA,NEWS,39610,1047,3.89,67.88,112.0,88.7,16.1,,0,1,HIGH,HIGH,0,0,1,0,STABLE,INTERMEDIATE,BASIC,0,BUSINESS_HOURS,0,0,0,4,8
WH-00110,NEW_IDEA,API_SERVICE,1462044,403,12.25,82.28,143.99,36.29,113.7,,0,0,MEDIUM,VERY_HIGH,1,135,1,1,MEDIUM,INTERMEDIATE,99.9,0,EVENING,0,0,0,16,32
WH-00111,PLANNED,NEWS,1097434,7411,3.24,400.19,468.23,105.63,16.4,,0,0,MEDIUM,MEDIUM,0,0,1,0,STABLE,INTERMEDIATE,99.95,1,NORMAL,0,0,1,16,32
WH-00112,PLANNED,API_SERVICE,1173898,1323,20.96,462.17,804.17,78.64,32.2,,0,1,LOW,HIGH,0,0,1,0,STABLE,BEGINNER,99.5,0,BUSINESS_HOURS,0,0,0,32,32
WH-00113,PLANNED,MARKETPLACE,16621,360,15.58,93.48,351.48,194.42,476.0,,0,0,HIGH,HIGH,1,249,1,1,RAPID,ADVANCED,BASIC,0,EVENT_DRIVEN,0,1,0,32,64
WH-00114,PLANNED,CORPORATE,4347,26,2.88,1.25,1.8,23.08,58.6,,0,1,LOW,LOW,0,0,0,0,MEDIUM,INTERMEDIATE,99.95,1,NORMAL,0,0,0,2,4
WH-00115,PLANNED,ECOMMERCE,16508,117,9.87,19.25,24.06,40.64,40.4,,0,0,HIGH,VERY_HIGH,0,0,0,0,SLOW,INTERMEDIATE,99.95,1,NORMAL,0,0,1,2,8
WH-00116,PLANNED,NEWS,414067,1100,2.97,54.45,111.62,99.75,357.0,,0,1,MEDIUM,MEDIUM,0,0,0,1,SLOW,BEGINNER,BASIC,0,EVENING,0,0,0,4,8
WH-00117,PLANNED,SAAS,683881,3267,23.84,1298.09,4854.85,325.99,138.7,,0,0,HIGH,HIGH,0,0,1,0,RAPID,INTERMEDIATE,99.95,1,EVENT_DRIVEN,0,0,0,32,64
WH-00118,LIVE_URL,INTERNAL_BUSINESS,579,14,2.99,0.7,0.93,8.0,18.3,81.3,1,0,MEDIUM,MEDIUM,0,0,0,0,RAPID,BEGINNER,99.9,0,NORMAL,0,1,0,2,4
WH-00119,PLANNED,SAAS,7544,196,12.53,40.93,70.4,33.86,50.6,,0,0,HIGH,HIGH,0,0,0,0,RAPID,INTERMEDIATE,99.9,0,BUSINESS_HOURS,0,0,1,4,8
WH-00120,LIVE_URL,CORPORATE,88965,171,4.12,11.74,16.44,11.68,60.9,71.0,1,0,LOW,LOW,0,0,1,0,RAPID,INTERMEDIATE,99.99,1,NORMAL,0,0,0,2,4
WH-00121,NEW_IDEA,API_SERVICE,5741,115,18.17,34.83,65.12,26.29,96.2,,0,0,MEDIUM,VERY_HIGH,0,0,0,0,MEDIUM,INTERMEDIATE,99.95,1,WEEKEND,0,0,0,4,8
WH-00122,LIVE_URL,SAAS,10959,160,14.83,39.55,73.56,21.2,29.4,87.6,1,1,HIGH,HIGH,0,0,1,0,MEDIUM,INTERMEDIATE,99.9,0,EVENING,0,0,1,4,8
